transformer_id,rated_power_mva,hv_voltage_kv,lv_voltage_kv,frequency_hz,phase_count,vector_group,impedance_percent,cooling_type,commissioning_year,application,no_load_loss_kw,load_loss_kw,total_mass_t,length_m,width_m,height_m
TR-001,35.6,115.0,11.0,60,3,YNd5,12.5,ONAF,2012,generation,46.9,370.7,52.8,4.70,3.05,4.14
TR-002,44.0,230.0,69.0,50,3,Dyn1,12.7,ONAF,2007,industrial,58.2,275.0,67.9,4.87,3.37,4.16
TR-003,30.0,138.0,13.8,60,3,Dd0,13.3,ONAF,2004,distribution,39.1,314.3,53.1,4.41,2.90,4.03
TR-004,39.8,69.0,34.5,60,3,Dyn1,14.1,ONAF,2022,distribution,48.8,294.5,58.6,4.82,3.12,4.10
TR-005,68.2,34.5,13.8,60,3,Dd0,14.4,ONAF,2023,renewable,68.4,695.4,81.5,6.25,3.95,4.68
TR-006,61.4,230.0,138.0,50,3,YNd1,14.6,ONAF,2020,transmission,89.3,425.7,72.2,5.95,3.64,4.75
TR-007,75.2,230.0,138.0,60,3,Yd11,14.6,ONAF,2025,transmission,80.8,513.7,96.2,6.50,4.02,4.69
TR-008,156.7,345.0,13.8,60,3,Ynd5,16.7,OFAF,1991,generation,139.2,1732.2,137.4,7.54,5.46,5.85
TR-009,78.5,230.0,69.0,60,3,Dd0,14.4,ONAF,2008,industrial,121.1,652.3,85.2,5.93,4.18,4.66
TR-010,176.2,500.0,34.5,60,3,Yd11,17.3,OFAF,2002,generation,272.4,1505.1,149.3,8.39,5.24,6.01
TR-011,14.2,138.0,34.5,60,3,Dyn1,10.5,ONAN,2024,distribution,17.1,125.7,38.0,3.73,2.54,3.51
TR-012,32.6,138.0,34.5,60,3,YNd11,12.6,ONAF,2023,industrial,45.1,218.0,51.3,4.70,3.06,4.14
TR-013,101.3,138.0,13.8,60,3,YNd11,14.2,OFAF,2015,renewable,160.6,790.3,105.6,6.64,4.13,5.16
TR-014,244.1,230.0,69.0,60,3,YNd1,18.5,ODAF,2014,transmission,381.4,2322.7,201.2,9.08,6.41,6.66
TR-015,50.7,138.0,69.0,60,3,YNd5,13.0,ONAF,2022,generation,51.1,316.3,64.5,5.29,3.72,4.50
TR-016,59.7,230.0,69.0,60,3,Yd11,13.9,ONAF,2010,transmission,58.7,655.6,81.6,6.01,3.88,4.71
TR-017,114.2,34.5,13.8,50,3,YNd11,14.3,OFAF,2020,renewable,124.4,1123.0,131.0,6.99,4.30,5.10
TR-018,45.3,115.0,20.0,60,3,Yd11,13.5,ONAF,2011,generation,66.8,334.9,61.3,5.13,3.62,4.16
TR-019,66.6,230.0,115.0,50,3,YNd1,14.7,OFAF,2009,transmission,66.7,517.3,73.9,5.52,4.00,4.55
TR-020,57.7,69.0,13.8,60,3,YNd11,12.7,ONAF,2020,renewable,65.2,534.1,73.6,5.67,3.53,4.32
TR-021,164.6,138.0,11.0,60,3,YNd5,16.2,OFWF,2020,generation,156.6,1594.1,160.6,8.07,5.23,5.96
TR-022,94.9,69.0,34.5,60,3,Dd0,16.1,ONAF,2010,renewable,115.6,1018.5,110.2,7.12,4.07,4.89
TR-023,203.0,138.0,34.5,60,3,Yd11,15.5,OFWF,2002,generation,206.6,1747.8,161.6,9.56,5.34,6.38
TR-024,13.6,138.0,13.8,60,3,Zyn11,10.8,ONAN,2003,distribution,14.6,110.2,35.9,3.71,2.47,3.61
TR-025,261.9,115.0,20.0,60,3,YNd11,16.5,ODAF,2001,generation,253.1,3055.2,228.4,10.42,5.89,6.95
TR-026,41.8,138.0,13.8,50,3,Dyn1,13.0,ONAF,2009,industrial,44.0,293.7,59.9,5.18,3.28,4.13
TR-027,52.0,230.0,115.0,60,3,YNd1,12.7,ONAF,2010,transmission,66.0,487.3,76.2,5.12,3.76,4.56
TR-028,170.9,230.0,115.0,60,3,Yd11,15.5,OFAF,2007,transmission,170.6,1860.0,171.1,7.93,5.45,6.05
TR-029,17.2,69.0,34.5,60,3,Yy0,10.4,ONAF,2023,distribution,27.2,126.1,40.9,4.06,2.76,3.60
TR-030,80.9,500.0,69.0,60,3,YNd11,14.7,ONAF,2019,transmission,65.9,758.9,95.1,6.07,3.87,4.89
TR-031,22.3,138.0,34.5,60,3,Dd0,12.7,ONAF,2022,renewable,27.5,222.2,43.6,4.20,2.79,3.78
TR-032,6.0,138.0,13.8,60,3,Dd0,8.6,ONAN,2017,distribution,6.5,45.9,28.6,3.01,2.09,3.24
TR-033,36.1,69.0,13.8,60,3,Dyn1,12.9,ONAF,2017,distribution,30.7,245.1,55.9,4.70,3.32,4.19
TR-034,50.3,69.0,34.5,60,3,Yy0,14.8,ONAF,2020,distribution,74.8,323.8,65.7,5.14,3.50,4.36
TR-035,70.4,230.0,115.0,60,3,YNd1,15.5,OFAF,2023,transmission,72.0,597.6,92.0,6.19,3.67,4.55
TR-036,112.3,34.5,13.8,60,3,YNd11,13.9,ONAF,2015,renewable,163.6,1253.7,113.5,7.43,4.40,5.28
TR-037,27.6,34.5,13.8,60,3,Dd0,11.5,ONAF,2015,renewable,42.8,198.8,51.0,4.53,2.96,4.04
TR-038,28.8,34.5,13.8,60,3,Dd0,13.1,ONAF,2005,renewable,36.0,337.4,48.3,4.57,3.01,4.00
TR-039,39.4,69.0,13.8,60,3,Dyn1,12.4,ONAF,2016,industrial,47.9,276.7,63.9,4.77,3.46,4.18
TR-040,68.6,230.0,69.0,60,3,YNd1,15.6,ONAF,2011,transmission,103.6,651.2,83.4,5.85,4.08,4.74
